"source","target"
"ABAT","MAGI1"
"ABAT","NBR1"
"ABAT","NIPAL3"
"ABAT","SERINC5"
"ABAT","SLC22A23"
"ABAT","SLC36A1"
"ABAT","TSHZ1"
"ABCA1","KMT2A"
"ABCA1","ZKSCAN8"
"ABCA7","ACAP1"
"ABCA7","ARHGAP4"
"ABCA7","ARHGAP9"
"ABCA7","ARHGEF1"
"ABCA7","RP5-1171I10.5"
"ABCA7","TBC1D10C"
"ABCA8","PTCH1"
"ABCA9","GOLGA8N"
"ABCA9","GS1-124K5.3"
"ABCA9","VDAC1P8"
"ABCB10","ADSS"
"ABCB10","AGGF1"
"ABCB10","AHCYL1"
"ABCB10","API5"
"ABCB10","ARL8B"
"ABCB10","CTBP2"
"ABCB10","CUL2"
"ABCB10","DESI2"
"ABCB10","FAM102B"
"ABCB10","ICK"
"ABCB10","KCTD3"
"ABCB10","MAGT1"
"ABCB10","MATR3"
"ABCB10","PARG"
"ABCB10","PDS5A"
"ABCB10","PM20D2"
"ABCB10","PPP4R3B"
"ABCB10","SACM1L"
"ABCB10","SHTN1"
"ABCB10","SUZ12"
"ABCB10","UBP1"
"ABCB10","UEVLD"
"ABCB10","UFL1"
"ABCB10","USP16"
"ABCB10","YES1"
"ABCB10","YME1L1"
"ABCC1","AC093818.1"
"ABCC1","AC116366.6"
"ABCC1","AC159540.1"
"ABCC1","ACAD11"
"ABCC1","ACIN1"
"ABCC1","ACSL4"
"ABCC1","ADCY7"
"ABCC1","ADGRE4P"
"ABCC1","ADGRG6"
"ABCC1","ADPGK"
"ABCC1","AGAP5"
"ABCC1","ANGPT2"
"ABCC1","ANKDD1A"
"ABCC1","ANKRD10-IT1"
"ABCC1","ARGLU1"
"ABCC1","ARHGAP11B"
"ABCC1","ARNTL2"
"ABCC1","ASXL1"
"ABCC1","ATM"
"ABCC1","ATP11A"
"ABCC1","ATP8B2"
"ABCC1","BMS1P1"
"ABCC1","BMS1P4"
"ABCC1","BTAF1"
"ABCC1","BTBD19"
"ABCC1","BTN2A2"
"ABCC1","BTN2A3P"
"ABCC1","C1S"
"ABCC1","C4orf32"
"ABCC1","CAPRIN2"
"ABCC1","CARD6"
"ABCC1","CCDC88A"
"ABCC1","CCSAP"
"ABCC1","CD44"
"ABCC1","CD93"
"ABCC1","CDH11"
"ABCC1","CDH5"
"ABCC1","CEP164"
"ABCC1","CH17-264L24.1"
"ABCC1","COL4A1"
"ABCC1","COL5A2"
"ABCC1","CREBZF"
"ABCC1","CSGALNACT2"
"ABCC1","CTB-89H12.4"
"ABCC1","DDHD1"
"ABCC1","DDX17"
"ABCC1","DENND3"
"ABCC1","DENND4B"
"ABCC1","DKFZP434I0714"
"ABCC1","DMTF1"
"ABCC1","DSE"
"ABCC1","EDEM1"
"ABCC1","EDRF1"
"ABCC1","ELL2"
"ABCC1","ENTPD1"
"ABCC1","EP400NL"
"ABCC1","EP400"
"ABCC1","EPB41L2"
"ABCC1","ERO1A"
"ABCC1","F2R"
"ABCC1","FAM111A"
"ABCC1","FAM219A"
"ABCC1","FBXO41"
"ABCC1","FBXW7"
"ABCC1","FGD2"
"ABCC1","FMNL2"
"ABCC1","FNBP4"
"ABCC1","GABBR1"
"ABCC1","GLCCI1"
"ABCC1","GLIPR1"
"ABCC1","GOLGA8A"
"ABCC1","GOLGA8B"
"ABCC1","GPCPD1"
"ABCC1","GPR155"
"ABCC1","GSAP"
"ABCC1","GUCY1B3"
"ABCC1","HIF1A"
"ABCC1","HNRNPDL"
"ABCC1","HNRNPH1"
"ABCC1","HNRNPU-AS1"
"ABCC1","IL18R1"
"ABCC1","IL1R1"
"ABCC1","INPP4A"
"ABCC1","IRAK3"
"ABCC1","ITGA2"
"ABCC1","ITGA4"
"ABCC1","KDR"
"ABCC1","KIAA0907"
"ABCC1","KLHL29"
"ABCC1","KLHL5"
"ABCC1","LA16c-358B7.3"
"ABCC1","LA16c-390E6.4"
"ABCC1","LAX1"
"ABCC1","LINC00641"
"ABCC1","LINC00954"
"ABCC1","LINC01001"
"ABCC1","LINC01002"
"ABCC1","LINC01355"
"ABCC1","LPIN1"
"ABCC1","LRRC8C"
"ABCC1","LRRK2"
"ABCC1","LTB4R2"
"ABCC1","MACF1"
"ABCC1","MAN2A2"
"ABCC1","MAP3K3"
"ABCC1","MAP3K8"
"ABCC1","MDM4"
"ABCC1","METTL3"
"ABCC1","MLLT11"
"ABCC1","MSL3"
"ABCC1","MYO1F"
"ABCC1","NAA16"
"ABCC1","NAIP"
"ABCC1","NBPF15"
"ABCC1","NBPF8"
"ABCC1","NCKAP5L"
"ABCC1","NKTR"
"ABCC1","OGT"
"ABCC1","OSBPL3"
"ABCC1","PAN2"
"ABCC1","PAPD7"
"ABCC1","PBX2"
"ABCC1","PDE7A"
"ABCC1","PECAM1"
"ABCC1","PHC1"
"ABCC1","PIAS3"
"ABCC1","PIK3R3"
"ABCC1","PIK3R5"
"ABCC1","PLEKHH2"
"ABCC1","PLXNA1"
"ABCC1","PPWD1"
"ABCC1","PRPF38B"
"ABCC1","QSOX2"
"ABCC1","RAB11FIP1P1"
"ABCC1","RBM17"
"ABCC1","RBM25"
"ABCC1","RBM26"
"ABCC1","RBM39"
"ABCC1","RBMS1"
"ABCC1","RGS18"
"ABCC1","RGS5"
"ABCC1","RHBDF2"
"ABCC1","RHOQ"
"ABCC1","RNF213"
"ABCC1","RNF24"
"ABCC1","RP11-273B20.1"
"ABCC1","RP11-284N8.3"
"ABCC1","RP11-325K4.2"
"ABCC1","RP11-326C3.2"
"ABCC1","RP11-415J8.3"
"ABCC1","RP11-488L18.4"
"ABCC1","RP11-894P9.1"
"ABCC1","RP3-368A4.5"
"ABCC1","RP3-368A4.6"
"ABCC1","RP5-1142A6.9"
"ABCC1","RUFY3"
"ABCC1","S100PBP"
"ABCC1","SAMD9L"
"ABCC1","SAMHD1"
"ABCC1","SEMA4C"
"ABCC1","SF3B1"
"ABCC1","SFMBT2"
"ABCC1","SGTB"
"ABCC1","SHANK3"
"ABCC1","SIN3B"
"ABCC1","SLC25A37"
"ABCC1","SLC6A6"
"ABCC1","SLFN11"
"ABCC1","SLFN13"
"ABCC1","SP140L"
"ABCC1","SPATS2"
"ABCC1","SRSF11"
"ABCC1","STAT2"
"ABCC1","STAT5B"
"ABCC1","STX16"
"ABCC1","SYNGAP1"
"ABCC1","TBRG1"
"ABCC1","TIA1"
"ABCC1","TIAF1"
"ABCC1","TMEM39A"
"ABCC1","TRAF5"
"ABCC1","TRAM2"
"ABCC1","TRIM22"
"ABCC1","USP35"
"ABCC1","VPS13C"
"ABCC1","WHAMMP3"
"ABCC1","WNT5A"
"ABCC1","ZBTB40"
"ABCC1","ZEB1"
"ABCC1","ZNF333"
"ABCC1","ZNF354B"
"ABCC1","ZNF449"
"ABCC1","ZNF532"
"ABCC5","AC083843.1"
"ABCC5","ACAD11"
"ABCC5","ACIN1"
"ABCC5","AKAP17A"
"ABCC5","ARGLU1"
"ABCC5","BTN2A3P"
"ABCC5","CCNL2"
"ABCC5","CLK2"
"ABCC5","CLUHP3"
"ABCC5","CREBZF"
"ABCC5","CTB-89H12.4"
"ABCC5","DDX17"
"ABCC5","GABBR1"
"ABCC5","GABRE"
"ABCC5","GGA1"
"ABCC5","GOLGA8A"
"ABCC5","GRIPAP1"
"ABCC5","HNRNPH1"
"ABCC5","KIAA0907"
"ABCC5","LA16c-358B7.3"
"ABCC5","MAN2A2"
"ABCC5","OGT"
"ABCC5","PAN2"
"ABCC5","PLEKHM1P"
"ABCC5","PNN"
"ABCC5","PRPF38B"
"ABCC5","PTOV1-AS2"
"ABCC5","RBM25"
"ABCC5","RBM39"
"ABCC5","RP11-347I19.7"
"ABCC5","RP11-449J21.3"
"ABCC5","RP11-488L18.4"
"ABCC5","RP11-59C5.3"
"ABCC5","RP11-66N24.3"
"ABCC5","RP13-104F24.2"
"ABCC5","RP13-516M14.8"
"ABCC5","SF3B1"
"ABCC5","SRSF11"
"ABCC5","STAG3L5P"
"ABCC5","STX16"
"ABCC5","TBRG1"
"ABCC5","TIA1"
"ABCC5","WASH5P"
"ABCC5","ZFC3H1"
"ABCC5","ZMIZ2"
"ABCC5","ZNF333"
"ABCC5","ZNF335"
"ABCC5","ZNF354B"
"ABCC5","ZRANB2"
"ABCD3","AHCYL2"
"ABCD3","CD2AP"
"ABCD3","ETFDH"
"ABCD3","GPD1L"
"ABCD3","LNX2"
"ABCD3","MIER1"
"ABCD3","MPP5"
"ABCD3","NDFIP2"
"ABCD3","PANK3"
"ABCD3","VTA1"
"ABCD3","WASL"
"ABCE1","BMS1"
"ABCE1","DDX21"
"ABCE1","IPO7"
"ABCE1","LARP1B"
"ABCE1","LARP4"
"ABCE1","NAA15"
"ABCE1","NUP58"
"ABCE1","NUS1"
"ABCE1","PPAT"
"ABCE1","SYNCRIP"
"ABCG2","ACOX1"
"ABCG2","SLC26A3"
"ABHD13","UBE2W"
"ABHD17C","LRRC1"
"ABHD17C","NDFIP2"
"ABHD17C","RBM47"
"ABHD17C","TMEM45B"
"ABHD17C","UGP2"
"ABHD17C","VAPA"
"ABHD18","ERI2"
"ABHD18","PAPOLA"
"ABHD18","TRPM7"
"ABI1","ARL8B"
"ABI1","COG6"
"ABI1","CSNK2A1"
"ABI1","MOB1A"
"ABI1","RAB5B"
"ABI1","RNF6"
"ABI2","AKT3"
"ABI2","BTAF1"
"ABI2","DCHS1"
"ABI2","DPY19L3"
"ABI2","KIRREL"
"ABI2","PKD2"
"ABI2","PYGO1"
"ABI2","SLC23A2"
"ABI2","STAT5B"
"ABI3BP","DDR2"
"ABI3BP","EPHA3"
"ABI3BP","FAT4"
"ABI3BP","RECK"
"ABL1","OCRL"
"ABL1","PUM2"
"ABL2","AHR"
"ABL2","ATRX"
"ABL2","BLOC1S6"
"ABL2","CAMSAP2"
"ABL2","CBL"
"ABL2","CDK12"
"ABL2","ELK4"
"ABL2","FNDC3A"
"ABL2","GTF2I"
"ABL2","HIVEP2"
"ABL2","IL6ST"
"ABL2","KMT2D"
"ABL2","LRCH1"
"ABL2","NCOA3"
"ABL2","NFAT5"
"ABL2","PHIP"
"ABL2","PIKFYVE"
"ABL2","RAD54L2"
"ABL2","RASA2"
"ABL2","ROCK1"
"ABL2","SLC23A2"
"ABL2","SLC38A2"
"ABL2","SRRM1"
"ABL2","TGFBR2"
"ABL2","TNKS2"
"ABL2","TRRAP"
"ABL2","ZDBF2"
"ABLIM1","RASEF"
"ABLIM3","ANGPT2"
"ABLIM3","FGD5"
"ABLIM3","IRAK3"
"ABLIM3","ZEB1"
"AC000041.8","AC011363.1"
"AC000041.8","RNA5SP203"
"AC000041.8","TRBJ1-6"
"AC002070.1","MIR559"
"AC002395.1","RNA5SP82"
"AC002395.1","RNU6-807P"
"AC004470.1","AC018688.1"
"AC004470.1","AC244250.3"
"AC004470.1","AL442127.1"
"AC004470.1","FP236383.10"
"AC004470.1","FP236383.7"
"AC004470.1","FP236383.8"
"AC004470.1","FP236383.9"
"AC004470.1","FP671120.2"
"AC004470.1","FP671120.6"
"AC004470.1","IGHD3-16"
"AC004470.1","MIR1268A"
"AC004470.1","MIR143"
"AC004470.1","MIR23A"
