"","logFC","logCPM","LR","PValue","FDR"
"LINC00307",-1.7610065516186,-3.99930093349716,98.487624520864,3.27062206528088e-23,2.673322426655e-21
"RP11-415C15.3",-1.43249141517355,-4.88135899512423,98.4569209340676,3.32172716234643e-23,2.71130767711524e-21
"SELP",1.09873135589122,2.58634759438754,97.189053020916,6.30140831467672e-23,4.91711493610854e-21
"PANX2",1.28423185689917,-2.3043875688465,97.0685922035692,6.69667751776531e-23,5.17723058189825e-21
"APOL1",1.0295574420191,5.62739354995,96.8781822926463,7.37266287189146e-23,5.66243729546687e-21
"ROPN1",-1.00392564153664,-1.76492752819631,96.8625250388321,7.43119594401221e-23,5.69991233849765e-21
"SOCS1",1.13509397683471,4.01969576890808,96.7356964495204,7.92278930909183e-23,6.05317652121789e-21
"GBP5",1.09679088498433,3.95218217935132,96.5540523837969,8.68403776641053e-23,6.55773711279239e-21
"RPS15AP25",-1.73357652488757,-3.20676503224405,95.5233476569063,1.46157361168269e-22,1.07458711118239e-20
"MNDA",1.08443988490655,3.43445421756594,95.4281776735131,1.5335527919141e-22,1.12327463822254e-20
"XPNPEP2",-1.0069741825996,0.724112824085803,95.0750345537201,1.83303929415585e-22,1.32114275432484e-20
"RP11-92C4.4",-1.73471125441145,-4.59442869743775,94.8212327092176,2.08378527201157e-22,1.49450305464712e-20
"FFAR2",1.21724496016406,2.54950380450406,94.2670939568039,2.75695579696255e-22,1.93927982044995e-20
"CD38",1.16156757688044,3.69361022263455,94.040977534495,3.09058947343753e-22,2.15069748327536e-20
"LINC00114",1.00525832951841,0.755266274335942,92.8167513721363,5.73675302500431e-22,3.87240754366035e-20
"IGKC",1.03126238436948,15.0351177841102,92.0314987509149,8.53077734973003e-22,5.60331328412571e-20
"IGKV3D-15",1.05413691293672,7.22640067851232,91.4983509752758,1.11685214141773e-21,7.26251719159235e-20
"KRTAP13-2",-1.33654850344245,1.57219519124339,90.780477959101,1.60529406689237e-21,1.02451722977982e-19
"LILRB2",1.04672874082733,3.19794702489183,90.6720880294639,1.69568497407436e-21,1.07958077612548e-19
"RPS15AP9",-1.57696464611395,-4.90941577481971,90.6059644005438,1.75331049822573e-21,1.11291478956793e-19
"ROS1",-1.09062560527143,-3.17330621054396,90.5011334246965,1.84870964323104e-21,1.16714005566832e-19
"UNC5CL",1.06868307518284,2.32814167914353,90.311555414637,2.03460842699009e-21,1.272255807131e-19
"RP11-2I17.4",-1.43644243370496,-1.36310198850528,90.1540869367419,2.20315811911093e-21,1.37167686981753e-19
"KCNN3",1.20616281256891,1.78708793945214,89.8642690495706,2.55072284152845e-21,1.5746677592575e-19
"BRINP3",-1.02183836222793,1.49326341901878,89.6060587820319,2.90632746069855e-21,1.77546877150232e-19
"RBP2",-1.17042477634575,0.467984153459105,89.5618550922775,2.97199540558056e-21,1.81180269912705e-19
