"source","target"
"ABCA12","CPXM1"
"ABCA12","CPZ"
"ABCA12","CR392039.1"
"ABCA12","CSF3R"
"ABCA12","CSF3"
"ABCA12","CTB-61M7.2"
"ABCA12","CTSK"
"ABCA12","CU463998.1"
"ABCA12","CU463998.2"
"ABCA12","CXCL17"
"ABCA12","CXCL1"
"ABCA12","CXCL3"
"ABCA12","CXCL5"
"ABCA12","CXCL6"
"ABCA12","CXCL8"
"ABCA12","CXCR1"
"ABCA12","CXCR2"
"ABCA12","Clostridiales-1"
"ABCA12","DEFB4A"
"ABCA12","DEFB4B"
"ABCA12","DERL3"
"ABCA12","DMBT1"
"ABCA12","DOC2B"
"ABCA12","DSG3"
"ABCA12","DUOX2"
"ABCA12","DUOXA1"
"ABCA12","DUOXA2"
"ABCA12","ENKUR"
"ABCA12","ERO1A"
"ABCA12","FAM3B"
"ABCA12","FAM83A"
"ABCA12","FAM92B"
"ABCA12","FCAR"
"ABCA12","FCGR3B"
"ABCA12","FCN3"
"ABCA12","FCRL5"
"ABCA12","FER1L4"
"ABCA12","FGR"
"ABCA12","FIBIN"
"ABCA12","FKBP11"
"ABCA12","FO203515.1"
"ABCA12","FP236383.7"
"ABCA12","FP236383.8"
"ABCA12","FP325318.1"
"ABCA12","FP671120.2"
"ABCA12","FPR1"
"ABCA12","FPR2"
"ABCA12","GLT1D1"
"ABCA12","GNA15"
"ABCA12","HCAR2"
"ABCA12","HCAR3"
"ABCA12","HLA-N"
"ABCA12","IFI44"
"ABCA12","IFITM3"
"ABCA12","IGHD2-15"
"ABCA12","IGHD3-16"
"ABCA12","IGHD3-22"
"ABCA12","IGHD3-9"
"ABCA12","IGHG1"
"ABCA12","IGHG3"
"ABCA12","IGHJ1"
"ABCA12","IGHJ2P"
"ABCA12","IGHJ2"
"ABCA12","IGHJ3P"
"ABCA12","IGHJ3"
"ABCA12","IGHJ4"
"ABCA12","IGHJ5"
"ABCA12","IGHJ6"
"ABCA12","IGHV1-18"
"ABCA12","IGHV1-24"
"ABCA12","IGHV1-67"
"ABCA12","IGHV1-69-2"
"ABCA12","IGHV2-26"
"ABCA12","IGHV2-70"
"ABCA12","IGHV3-15"
"ABCA12","IGHV3-21"
"ABCA12","IGHV3-49"
"ABCA12","IGHV4-34"
"ABCA12","IGHV4-39"
"ABCA12","IGKJ1"
"ABCA12","IGKJ2"
"ABCA12","IGKJ3"
"ABCA12","IGKJ4"
"ABCA12","IGKJ5"
"ABCA12","IGKV1D-39"
"ABCA12","IGKV2D-40"
"ABCA12","IGKV3-15"
"ABCA12","IGKV3-20"
"ABCA12","IGLJ1"
"ABCA12","IGLJ6"
"ABCA12","IGLV1-40"
"ABCA12","IGLV1-44"
"ABCA12","IGLV1-51"
"ABCA12","IL11"
"ABCA12","IL17A"
"ABCA12","IL17F"
"ABCA12","IL19"
"ABCA12","IL1RN"
"ABCA12","IL23A"
"ABCA12","INHBA"
"ABCA12","KCND3"
"ABCA12","KCNJ15"
"ABCA12","KCNN3"
"ABCA12","KLK10"
"ABCA12","KLK6"
"ABCA12","KLK8"
"ABCA12","KRT6B"
"ABCA12","KYNU"
"ABCA12","LAX1"
"ABCA12","LBP"
"ABCA12","LCN2"
"ABCA12","LILRA1"
"ABCA12","LILRA5"
"ABCA12","LILRB2"
"ABCA12","LPCAT1"
"ABCA12","LY6D"
"ABCA12","MCEMP1"
"ABCA12","MDFI"
"ABCA12","MIR1249"
"ABCA12","MIR1254-1"
"ABCA12","MIR1255B2"
"ABCA12","MIR126"
"ABCA12","MIR143"
"ABCA12","MIR181B1"
"ABCA12","MIR203A"
"ABCA12","MIR23A"
"ABCA12","MIR23B"
"ABCA12","MIR24-2"
"ABCA12","MIR25"
"ABCA12","MIR27B"
"ABCA12","MIR30C2"
"ABCA12","MIR3138"
"ABCA12","MIR3176"
"ABCA12","MIR3197"
"ABCA12","MIR324"
"ABCA12","MIR3657"
"ABCA12","MIR3687-1"
"ABCA12","MIR3687-2"
"ABCA12","MIR374B"
"ABCA12","MIR378G"
"ABCA12","MIR378H"
"ABCA12","MIR378J"
"ABCA12","MIR4257"
"ABCA12","MIR4436A"
"ABCA12","MIR4477A"
"ABCA12","MIR4477B"
"ABCA12","MIR4489"
"ABCA12","MIR4537"
"ABCA12","MIR4538"
"ABCA12","MIR4539"
"ABCA12","MIR491"
"ABCA12","MIR503"
"ABCA12","MIR548X2"
"ABCA12","MIR616"
"ABCA12","MIR641"
"ABCA12","MIR642A"
"ABCA12","MIR645"
"ABCA12","MIR661"
"ABCA12","MIR663B"
"ABCA12","MIR6757"
"ABCA12","MIR6772"
"ABCA12","MIR6821"
"ABCA12","MMP10"
"ABCA12","MMP12"
"ABCA12","MMP3"
"ABCA12","MMP7"
"ABCA12","MNDA"
"ABCA12","MT-TK"
"ABCA12","MT-TM"
"ABCA12","MZB1"
"ABCA12","NCF2"
"ABCA12","NFE2"
"ABCA12","NOS2"
"ABCA12","OSM"
"ABCA12","PDPN"
"ABCA12","PI3"
"ABCA12","PIM2"
"ABCA12","PLAU"
"ABCA12","PPBP"
"ABCA12","PROK2"
"ABCA12","PRSS2"
"ABCA12","PSG4"
"ABCA12","PTP4A3"
"ABCA12","REG1A"
"ABCA12","REG1B"
"ABCA12","REG3A"
"ABCA12","RNA5SP298"
"ABCA12","RNA5SP323"
"ABCA12","RNA5SP333"
"ABCA12","RNA5SP334"
"ABCA12","RNA5SP69"
"ABCA12","RNA5SP86"
"ABCA12","RND1"
"ABCA12","RNF183"
"ABCA12","RNU1-72P"
"ABCA12","RNU2-16P"
"ABCA12","RNU5A-1"
"ABCA12","RNU6-1053P"
"ABCA12","RNU6-1095P"
"ABCA12","RNU6-1161P"
"ABCA12","RNU6-118P"
"ABCA12","RNU6-1206P"
"ABCA12","RNU6-130P"
"ABCA12","RNU6-190P"
"ABCA12","RNU6-199P"
"ABCA12","RNU6-216P"
"ABCA12","RNU6-277P"
"ABCA12","RNU6-341P"
"ABCA12","RNU6-423P"
"ABCA12","RNU6-510P"
"ABCA12","RNU6-548P"
"ABCA12","RNU6-564P"
"ABCA12","RNU6-638P"
"ABCA12","RNU6-890P"
"ABCA12","RNU6-892P"
"ABCA12","RNU6-96P"
"ABCA12","RNY1P11"
"ABCA12","RNY4P25"
"ABCA12","RP11-16E12.2"
"ABCA12","RP11-248B24.5"
"ABCA12","RP11-345J4.6"
"ABCA12","RP11-44K6.2"
"ABCA12","RP11-87N24.3"
"ABCA12","RP11-88H9.2"
"ABCA12","RP11-927P21.4"
"ABCA12","RP6-159A1.4"
"ABCA12","RPL39P3"
"ABCA12","RTEL1"
"ABCA12","S100A12"
"ABCA12","S100A7"
"ABCA12","S100A8"
"ABCA12","S100A9"
"ABCA12","SAA1"
"ABCA12","SAA2-SAA4"
"ABCA12","SAA2"
"ABCA12","SAA4"
"ABCA12","SELE"
"ABCA12","SELP"
"ABCA12","SERPINA3"
"ABCA12","SERPINB3"
"ABCA12","SERPINB4"
"ABCA12","SERPINB7"
"ABCA12","SFRP2"
"ABCA12","SLC11A1"
"ABCA12","SLC26A4"
"ABCA12","SLC6A14"
"ABCA12","SLC6A20"
"ABCA12","SLC7A5"
"ABCA12","SLCO1B3"
"ABCA12","SNORA14"
"ABCA12","SNORA63"
"ABCA12","SNORD127"
"ABCA12","SNORD12B"
"ABCA12","SNORD14A"
"ABCA12","SNORD14E"
"ABCA12","SNORD19"
"ABCA12","SNORD60"
"ABCA12","SNORD6"
"ABCA12","SNORD78"
"ABCA12","SNORD99"
"ABCA12","SPRR1A"
"ABCA12","SPRR1B"
"ABCA12","SPRR2A"
"ABCA12","SPRR2D"
